_id,zip_cd,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,eligible_population
400,47035,7,269,105,52,246
401,47036,32,1819,635,388,824
402,47037,115,4203,1644,789,4231
403,47038,64,1074,419,219,1617
404,47040,335,6797,2597,1444,4871
405,47041,169,6630,2561,1297,6375
406,47042,198,4683,1816,925,3940
407,47043,160,5518,2093,1061,5012
408,47060,232,8443,3312,1572,5679
409,47102,377,7277,2891,1362,6495
410,47104,Suppressed,Suppressed,Suppressed,Suppressed,0
411,47106,321,6374,2495,1246,4694
412,47108,97,2434,964,445,2242
413,47110,21,423,175,68,374
414,47111,1115,23386,9278,4375,16166
415,47112,952,23331,8980,4552,15797
416,47114,24,542,217,97,311
417,47115,114,3189,1224,636,2802
418,47116,15,804,294,161,674
419,47117,229,5626,2185,1089,4222
420,47118,153,3833,1475,737,3192
421,47119,798,20918,7942,4357,11094
422,47120,35,1114,433,200,665
423,47122,569,17477,6655,3520,10124
424,47123,8,243,87,53,106
425,47124,261,7479,2879,1481,4759
426,47125,87,1920,758,364,1435
427,47126,317,6026,2374,1176,4349
428,47129,915,27184,10623,4675,18369
429,47130,2758,71382,27389,13522,43531
430,47135,57,1446,554,287,894
431,47136,218,7047,2686,1394,4109
432,47137,62,1830,695,372,1443
433,47138,213,5154,2003,1007,4278
434,47140,125,3123,1214,609,2444
435,47141,104,1837,753,346,1455
436,47142,45,868,363,141,982
437,47143,256,4816,1919,929,2809
438,47145,79,2546,962,507,1829
439,47147,35,1323,508,266,1164
440,47150,2696,73638,27946,14380,45326
441,47160,10,230,94,39,103
442,47161,184,4686,1848,877,3119
443,47162,34,1028,405,197,709
444,47163,102,1912,751,380,1188
445,47164,153,4598,1756,886,3915
446,47165,325,6809,2727,1220,5832
447,47166,45,1937,734,392,1515
448,47167,732,18580,7262,3495,13975
449,47170,810,19150,7369,3742,14018
450,47172,1421,30208,11789,5801,16629
451,47175,47,1080,411,222,969
452,47177,70,1624,630,322,1122
453,47201,1573,77380,28710,15480,41822
454,47203,782,49013,17537,10634,25029
455,47220,431,7362,2929,1488,5397
456,47223,39,1459,575,266,922
457,47224,14,468,183,97,463
458,47226,13,253,100,49,246
459,47227,57,1575,609,284,2039
460,47229,195,3604,1455,689,3091
461,47230,106,2197,864,433,1408
462,47231,42,1160,457,210,809
463,47232,77,3461,1300,696,3129
464,47234,45,1730,674,334,1402
465,47235,75,2174,857,402,1465
466,47240,770,27719,10583,5607,20442
467,47243,284,6761,2606,1348,5599
468,47244,15,910,342,191,688
469,47246,111,5904,2190,1205,4382
470,47247,9,204,82,37,179
471,47250,1122,31525,11919,6461,20786
472,47260,108,1766,720,330,1593
473,47263,5,190,79,27,250
474,47264,78,1412,576,259,1165
475,47265,726,23081,9038,4195,19040
476,47270,35,774,311,155,530
477,47272,68,2287,899,427,2044
478,47273,76,2231,877,412,1980
479,47274,1581,43437,17137,7905,29114
480,47280,25,1126,424,219,905
481,47281,81,1866,738,375,1161
482,47282,10,509,184,102,282
483,47283,123,4004,1535,773,3006
484,47302,843,30287,11749,5698,24394
485,47303,612,28242,10929,5263,23887
486,47304,862,52305,18933,11246,30469
487,47305,153,4046,1578,750,3285
488,47306,17,538,225,77,5096
489,47320,90,5768,2114,1198,3512
490,47324,11,106,46,19,137
491,47325,25,747,279,156,618
492,47326,28,1224,455,249,1917
493,47327,178,4839,1875,949,4241
494,47330,215,6978,2700,1394,4880
495,47331,593,24525,9394,4728,21192
496,47334,110,4435,1694,907,3061
497,47335,29,734,297,130,670
498,47336,87,4139,1555,850,3044
499,47337,Suppressed,228,87,44,117
500,47338,62,3113,1199,585,2596
501,47339,22,757,296,144,493
502,47340,70,3506,1320,707,2823
503,47341,112,2364,952,438,2267
504,47342,82,3341,1278,668,2484
505,47344,Suppressed,109,45,14,108
506,47345,55,1408,549,291,1360
507,47346,149,4858,1852,969,3663
508,47348,217,11450,4342,2307,8688
509,47351,16,522,211,93,482
510,47352,23,1213,467,215,818
511,47353,253,6587,2523,1325,5245
512,47354,26,1321,483,277,1035
513,47355,62,2763,1053,553,2620
514,47356,202,7544,2896,1490,5037
515,47357,53,1323,513,265,787
516,47358,18,1047,404,210,1003
517,47359,54,2707,1049,529,2858
518,47360,51,1872,718,378,1236
519,47361,11,370,143,69,212
520,47362,730,41100,15613,7913,28417
521,47367,Suppressed,Suppressed,Suppressed,Suppressed,57
522,47368,64,3775,1385,777,2707
523,47369,39,1074,416,205,1234
524,47371,302,13120,4882,2663,11369
525,47373,51,2334,867,468,2256
526,47374,1896,60244,22716,12117,42950
527,47380,38,1864,721,364,1446
528,47381,7,92,37,18,114
529,47382,Suppressed,182,70,34,227
530,47383,75,3876,1460,802,3066
531,47384,60,2337,928,438,1944
532,47385,49,1988,773,371,1228
533,47386,25,1557,584,318,1150
534,47387,21,815,326,142,656
535,47388,22,431,170,87,318
536,47390,163,5224,1970,1018,4634
537,47393,54,1480,578,292,1718
538,47394,196,10254,3820,2076,7797
539,47396,243,12192,4559,2573,6486
540,47401,1966,85860,30400,19319,41533
541,47403,1522,54226,20350,11217,31270
542,47404,1095,36717,13729,7542,22756
543,47405,14,349,135,55,3697
544,47406,109,3586,1435,397,3945
545,47408,882,37527,13719,7646,24986
546,47420,11,220,85,43,439
547,47421,1620,36401,14193,7122,26049
548,47424,417,12125,4657,2422,8564
549,47427,45,988,386,195,662
550,47429,338,12931,4868,2693,8776
551,47431,57,1577,604,323,1430
552,47432,172,6118,2331,1219,4188
553,47433,163,4569,1763,890,3922
554,47434,Suppressed,Suppressed,Suppressed,Suppressed,0
555,47436,109,1854,737,374,1367
556,47437,Suppressed,63,24,12,155
557,47438,125,5019,1952,920,4159
558,47441,273,12288,4655,2413,8713
559,47443,24,1348,513,262,1215
560,47446,493,11537,4483,2318,9687
561,47448,224,13516,4732,2945,7147
562,47449,19,660,245,140,372
563,47451,69,1473,588,274,1034
564,47452,196,5762,2255,1115,4876
565,47453,19,535,202,108,671
566,47454,297,10144,3850,1993,6748
567,47455,Suppressed,Suppressed,Suppressed,Suppressed,76
568,47456,64,1357,534,286,1295
569,47457,Suppressed,37,15,8,179
570,47458,Suppressed,Suppressed,Suppressed,Suppressed,58
571,47459,125,4526,1735,893,3370
572,47460,477,14772,5583,2999,10350
573,47462,302,5971,2376,1149,4531
574,47464,11,231,97,38,196
575,47465,27,840,327,151,501
576,47467,Suppressed,41,16,8,107
577,47468,58,2396,853,554,1485
578,47469,71,2130,815,447,1734
579,47470,76,1531,612,282,1463
580,47471,80,2855,1096,551,2519
581,47501,1196,19794,8026,3564,16710
582,47512,113,3881,1515,717,3890
583,47513,94,2410,948,479,1943
584,47514,38,2738,1011,614,1556
585,47515,33,1001,381,204,848
586,47516,52,1607,629,300,1057
587,47519,16,405,159,80,843
588,47520,110,4266,1588,860,2661
589,47521,47,1336,518,288,664
590,47522,12,271,110,42,393
591,47523,125,4483,1741,826,3149
592,47524,11,570,228,96,531
593,47525,13,687,254,137,281
594,47527,66,2264,887,452,1761
595,47528,13,716,261,151,480
596,47529,44,948,382,181,1105
597,47531,41,1331,507,260,915
598,47532,155,7020,2646,1448,4114
599,47535,12,661,243,129,720
600,47536,Suppressed,Suppressed,Suppressed,Suppressed,0
601,47537,38,1053,390,220,848
602,47541,66,1625,626,338,1134
603,47542,605,13316,5305,2573,9413
